NA ne 	  लखनऊ। समाजवादी पार्टी के प्रदेश प्रवक्ता राजेन्द्र चौधरी ने कहा है कि कुछ लोग अपनी गलतियों से भी सबक नहीं सीखते है। बसपा की पूर्व मुख्यमंत्री उनमें से एक है। झूठ और लूट के सहारे उन्होने पूरे पांच साल तक सिर्फ मोटा कमीशन बटोरने का काम किया और जनता की तकलीफों पर कतई ध्यान नहीं दिया। उनके राज में ही बलात्कार, हत्या और अपहरण के मामलों में उनके आधा दर्जन मंत्री जेल की सलाखो के पीछे चले गए। खुद कभी स्वयं मायावती ने माना था कि उनकी पार्टी और सरकार में 500 से ज्यादा अपराधी हैं जिनकी सूची उन्होंने कभी प्रकाशित नहीं की। उन्हें अब न जाने कैसे प्रदेश में समाजवादी सरकार में अराजकता और कानून व्यवस्था भंग होने का खतरा दिखाई देने लगा है। दरअसल, प्रदेश में बसपाई ही सबसे ज्यादा अराजकतत्व हैं। अब भी समय है कि बसपा अध्यक्ष अपने उन 500 बसपाई अपराधियों की सूची जारी कर दें। सब जानते हैं कि इन्हीं माफियाओं ने बसपाई मंत्रियों और अफसरों से मिलकर प्रदेश में हर स्तर पर जमकर लूट मचाई थी। बसपा अध्यक्षा को बदायूं और इटावा की घटनाओं की याद आई है। अपने हित को जनहित बताकर वे प्रदेश में राष्ट्रपति राज की मांग उठा रही है। उनकी इन मांगों का कोई संवैधानिक औचित्य इसलिए नहीं है कि मुख्यमंत्री अखिलेश यादव ने घटनाओं पर तत्काल कार्यवाही की और अपराधियों की गिरफ्तारी कराई। अपराधियों को सख्त सजा दिलाने के मुख्यमंत्री के निर्देश हैं। बसपा अध्यक्षा का यह कहना कि बिजली सप्लाई में प्रदेशवासियों के बीच भेदभाव किया जा रहा है। अनर्गल प्रलाप है। गर्मियों में वैसे भी बिजली का कुछ संकट रहता है। मुख्यमंत्री जनता को राहत देने के लिए 15 करोड़ रूपए की नकद 4500 मेगावाट बिजली रोज खरीद कर दे रहे हैं। भाजपा, कांग्रेस और बसपा बिजली पर झूठी सियासत कर रहे हैं। केन्द्र सरकार यूपी को कोटे की बिजली आपूर्ति नहीं कर रही है। मायावती तो प्रदेश की समाजवादी सरकार के हिस्से में मंहगी बिजली खरीद कर 25 हजार करोड़ रूपए का कर्जा छोड़ गई थी। बसपा सरकार में प्रदेश में एक यूनिट बिजली नहीं पैदा हुई। तमाम बिजलीघरों में यंत्रों की मरम्मत भी नहीं हुई। सरकारी खजाने की लूट का यह सिलसिला समाजवादी सरकार के आने पर रूक गया है। मायावती के लिए यही बुरे दिन हैं कि उनकी तानाशाही, कमीशनखोरी व लूट का जमाना आनेवाला नहीं है। सपा के युवा नेताओं से मुलायम ने जाने लोकसभा चुनाव में हार के कारणसमाजवादी पार्टी के चारों युवा प्रकोष्ठों छात्र सभा, लोहिया वाहिनी, मुलायम सिंह यूथ बिग्रेड तथा युवजन सभा के पूर्व प्रदेश अध्यक्षों सहित इनके जिला/महानगर अध्यक्षों की बैठक यहां पार्टी मुख्यालय, लखनऊ में हुई जिसका मार्गदर्शन समाजवादी पार्टी के राष्ट्रीय अध्यक्ष मुलायम सिंह यादव ने किया। बृजेश यादव, अतुल प्रधान, प्रदीप तिवारी तथा मो.एबाद ने चुनाव के हालात की जानकारी दी। जिलाध्यक्ष तथा महानगर अध्यक्षों से अलग-अलग भी नेताजी ने बात की। इस मौके पर एसआरएस यादव भी मौजूद थे। मुलायम सिंह यादव ने कहा कि पार्टी का भविष्य नौजवान हैं। सन् 2012 के विधान सभा चुनावों में इन्होंने बड़ी भूमिका निभाई और अखिलेश यादव के नेतृत्व में बहुमत की सरकार बनाई। उन्होने कहा लोकसभा चुनाव-2014 के नतीजो से निराश न हों, पूरे दमखम के साथ काम करते रहें। निराश होने की जरूरत नहीं, जनता के बीच बराबर बने रहें। यादव ने कहा कि जनता के जनादेश का हम सम्मान करते हैं। उन्होंने यह भी नौजवानों से कहा कि किसानों, नौजवानों, वंचितों को तमाम सुविधाएं देने के बावजूद क्यों हार हुई इसकी भी समीक्षा करें। उन्होने नौजवानों का आव्हान किया कि वे दिन रात गरीबों की सेवा में जुटे रहें।  0 comments: Post a Comment आपकी प्रतिक्रियाएँ क्रांति की पहल हैं, इसलिए अपनी प्रतिक्रियाएँ ज़रूर व्यक्त करें।  
NA ne 	   नई दिल्ली: दिल्ली हाईकोर्ट ने केंद्र सरकार और प्रवर्तन निदेशालय से पूछा है कि उन्होंने राजस्थान की पूर्व मुख्यमंत्री वसुंधरा राजे के बेटे, दामाद और बहू पर लगे धनशोधन मामले की जांच को लेकर क्या कदम उठाया है. इन तीनों पर आईपीएल के पूर्व प्रमुख ललित मोदी के मालिकाना हक वाली कंपनी के साथ मिलकर षड़यंत्र करने का आरोप है. मुख्य न्यायाधीश राजेंद्र मेनन और न्यायाधीश वी.के. राव की एक पीठ ने केंद्र सरकार से कहा है कि वह 17 तारीख तक अदालत को यह बताएं कि उन्होंने इस संबंध में क्या कार्रवाई की है. Also Read - The White Tiger on Netflix: Priyanka Chopra की फिल्म पर रोक लगाने से दिल्ली HC का इनकार, समझ नहीं आया... Also Read - दिल्ली हाई कोर्ट की दो टूक, ‘व्हाट्सऐप की नई पॉलिसी स्वीकार नहीं.. तो डिलीट कर दें ऐप' सीएम पर घमासान के बीच पायलट- गहलोत को वर्कर्स से शांति बनाए रखने के लिए करना पड़ी अपील Also Read - Whatsapp की नई प्राइवेसी पॉलिसी को दिल्ली हाईकोर्ट में चुनौती, दी गई यह दलील... पीठ ने चार दिसंबर के अपने आदेश में कहा था, ”अतिरिक्त सॉलिसिटर जनरल मनिंद्र आचार्य ने पूछे गए सवाल के संबंध में की गई कार्रवाई के बारे में जानकारी देने के लिए दो सप्ताह का समय मांगा था और उन्हें इसकी अनुमति दे दी गई.” अदालत का यह निर्देश वकील पूनम चंद भंडारी द्वारा दायर की गई याचिका पर आया है. उन्होंने अपनी याचिका में पूछा था कि प्रवर्तन निदेशालय ने इस संबंध में क्या कार्रवाई की है, क्योंकि निदेशालय ने 12 अक्टूबर को अदालत में कहा था कि वह आरोप की जांच बस पूरा ही करने वाले हैं. नोटा का 22 सीटों पर सबसे ज्यादा असर, एमपी में BJP-कांग्रेस का ऐसे बिगाड़ा खेल प्रवर्तन निदेशालय ने 12 अक्टूबर को अदालत को बताया था कि यह जांच लगभग पूरी होने वाली है और जैसे ही यह समाप्त होगी, इसके बाद हम इस मामले में आगे की कार्रवाई पर निर्णय लेंगे.    
MT 	    इन उत्पादों या आपूर्तिकर्ताओं परिणाम आपकी सुविधा के लिए भाषा उपकरण का उपयोग करके अनुवाद किया गया है। यदि आप हमारे अनुवाद परिणाम के बारे में कोई सुझाव है तो  कृपया हमें में सुधार करने में मदद। हिंदी इस पेज पर प्रदर्शित करने के अलावा अन्य भाषाओं में सभी उत्पाद और आपूर्तिकर्ता जानकारी  www.alibaba.com भाषा अनुवाद उपकरण द्वारा स्वचालित रूप से अनुवादित की जानकारी कर रहे हैं। यदि आप किसी भी क्वेरी या ऑटो-अनुवाद की गुणवत्ता पूर्ण के बारे में सुझाव है, कृपया हमें ईमेल (ईमेल पते पर)। Alibaba.com और उसकी सहयोगी कंपनियों इसके द्वारा स्पष्ट रूप से किसी भी वारंटी, एक्सप्रेस या निहित, नकारना और जो भी दायित्व से या किसी भी जानकारी के ऑटो-अनुवादित पर निर्भरता में किसी भी नुकसान के लिए खूब उत्पन्न होने वाले या भाषा-अनुवाद उपकरण के किसी भी तकनीकी त्रुटि के कारण।    
IN OP av dtp 	    शनि आठवें घर पर शनि का पूरा प्रभाव होता है। तांत्रिक परम्परा में शनि को आध्यात्मिक प्राप्ति का बहुत बड़ा कारक माना गया है। शनि को अंधेरे का कारक माना जाता है। कहा जाता है कि दमयन्ती के आठवें घर में शनि था। उसका पति राजा नल, राजा से रंक बन गया, उसे एक अदना सा इंसान बनकर किसी दूसरे राजा के पास रथ चलाने की नौकरी करनी पड़ी। अंत में जब उसका अहंकार टूट गया तो शनि देव की कृपा हुई तब राजा नल को अपनी पत्नी, बच्चे व राजपाट मिल गया। सो आठवें घर का शनि शादी शुदा जिंदगी में परेशानी लाता है। शनि एक चतुर ग्रह है। कहा जाता है कि रावण ने अपने पुत्र इंद्रजीत के जन्म के समय सभी ग्रहों को बलपूर्वक समय की कुण्डली के एकादश भाव में बिठा दिया। वह चाहता था कि होने वाला बालक जिंदगी से लाभ ही ले। सभी ग्रह सहमे हुए वक्त के ग्याहरवें भाव में बैठे रहे परन्तु शनि ने सबकी नजर बचाकर अपनी एक टांग बारहवें घर में लटका दी यानि हानि अथवा व्यय का घर। इस मिथिहासिक कथा के अनुसार इंद्रजीत ने ग्यारहवें घर में शनि का आधा और सभी ग्रहां का पूरा प्रभाव दोनों के कारण कई जीतें प्राप्त की और अहंकार से भर गया। अंत में अहंकार ही उसकी हार का कारण बना। आठवें घर का शनि इंसान को शराब का आदी भी बनाता है। उपाय - शराब से परहेज करें। - आठ सौ ग्राम साबुत उड़द चलते पानी में बहाएँ। - चांदी का चैकोर टुकड़ा अपने पास रखें। राहु राहु एक शरारती ग्रह है। यह इंसान के मन में जन्म जन्मांतरों की एकत्रित की गई समझ का कारक है। यह बहुत गंभीर चिंतन या गहराई का प्रतीक है। यह दिमाग में अचानक कोई ख्याल पैदा करता है। इसलिए राहु की इष्ट देवी सरस्वती को माना गया है। आठवें घर के राहु के बारे में मुखालिफ बातें कही जाती हैं मसलन ऐसा राहु इंसान को कई तरह के धोखे, भुलावे में डाल सकता है साथ ही यह भी कहा जाता है कि जिसके आठवें घर में राहु हो समय का राजा और विद्वन उसका आदर करते हैं। राहु का जालिम व्यवहार ऐसा है कि इंसान अपना घर बार छोड़कर कहीं चला जाता है और उसका कोई अता-पता नहीं मिलता, न ही घर छोड़ने का कोई कारण मिलता है। आठवें घर का राहु यदि गोचर फल या वर्ष फल के मुताबिक आठवें घर में ही आ जाए तो झगड़ा, अदालत और अचानक दुर्घटना का कारण बन जाता है। उपाय - आठ दिन या इकतालीस दिन लगातार 8 साबुत बादाम किसी ध्र्म स्थान पर चढ़ाकर उनमें से चार बादाम वापिस लाकर घर में रखना बहुत अच्छा उपाय है। इसमें राहु को ध्र्मस्थान में ले जाकर शरारत न करने की कसम दिलाई गई है। - आठ सौ ग्राम सिक्के के आठ टुकड़े काटकर पानी में बहा देने से भी राहु के दुष्प्रभाव को दूर किया जा सकता है। केतु अष्टम भाव में केतु यमराज के पैरों की आहट को पहचान लेने वाला माना जाता है। ऐसे समय में घर का पालतू कुत्ता वफादारी का प्रतीक हो जाता है। बच्चे की पैदाइश के लिए या बच्चे की उम्र के लिए उसका रखवाला बन जाता है? केतु जबा बुरा फल देता है तो घुटने पर या घुटनें के उपर के भाग पर चोट लगती है। ऐसा बार-बार होता है। कुत्ता काटने का डर भी बना रहता है। शरीर में केतु कानों का कारक है। कुण्डली में केतु खराब होने की हालत में कानों में सुराख करके उसके बुरे फल को दूर करना होता है। लाल किताब के मुताबिक कानों में सुराख कर उसे 96 घण्टे तक कायम रखना होता है इसलिए उसमें तीला या धागा डाल दिया जाता है। परन्तु कुछ विद्वानों ने इस उपाय को हमेशा के लिए कायम करके कानों में सोने के कुण्डल पहनना बताया है। उपाय - बृहस्पति की कारक धातु सोना कानों में पहनें। - धर्म स्थल पर काला सफेद कंबल या चादर देना (यदि दूसरे घर में मंगल शनि या सूर्य चन्द्र न हो)।    
HI NA ne 	   RRB ALP result 2018 अस्सिटेंट लोको पायलट और टेक्निशियन 1st सीबीटी के पद के लिए हुए एग्जाम के रिवाइज रिजल्ट की घोषणा हो चुकी है. आप रिज्लट इंडियन रेलवे की ऑफिशियल बेवसाइट www.indianrail.gov.in पर देख सकते हैं. सहायक लोको पायलट और तकनीशियन की भर्ती परीक्षा 9 अगस्त को हुई थी. परीक्षा का पहला स्टेज कंप्यूटर बेस्ड था. नतीजे आरआरबी की ऑफिशियल वेबसाइट पर दो नवंबर को जारी किए गए थे. लेकिन कुछ उम्मीदवारों ने रिजल्ट के साथ दी गई आंसर को लेकर सवाल खड़े किए थे, जिसके बाद आरआरबी ने रिजल्ट वापस ले लिया था. इसके बाद अब इस परीक्षा के रिवाइज नतीजे भी आ चुके हैं. कैसे देखे नतीजे? इसके लिए सबसे पहले आप भारतीय रेलवे की ऑफिशियल वेबसाइट www.indianrail.gov.in पर जाएं - RRB ALP या Technician Revised Result 2018 की लिंक पर क्लिक करें -यह आपको एक नए पेज पर ले जाएगी. - अब अपना रेजिस्ट्रेशन नंबर, पासवर्ड जालकर जमा कर दें - अपना रिजल्ट डाउनलोड कर के प्रिंट आउट करवा लें. RRB ALP, Technician revised results 2018 की रीजनल वेबसाइट RRB Guwahati-http://www.rrbguwahati.gov.in RRB jammu-http://www.rrbjammu.nic.in RRB Kolkata - http://www.rrbkolkata.gov.in RRB Malda -http://www.rrbmumbai.gov.in RRB Mumbai- http://www.rrbmumbai.gov.in RRB Muzaffarpur- http://www.rrbmuzaffarpur.gov.in RRB Patna- http://www.rrbpatna.govt.in RRB Ranchi- http://www.rrbranchi.gov.in RRB Secunderabad- http://www.rrbsecunderabad.nic.in RRB Ahmedabad- http://www.rrbald.gov.in RRB Ajmer- http://www.rrbajmer.gov.in RRB Allahabad- http://www.rrbald.gov.in RRB bangalore- http://www.rrbbnc.gov.in RRB Bhopal- http://www.rrbbpl.nic.in RRB bhubaneshwar- http://www.rrbbbs-gov-in अब इसमें पास करने वाले परिक्षार्थी अगले स्टेज के लिए योग्य होंगे. अगले स्टेज की परीक्षा 21, 22 और 23 जनवरी को आयोजित की जाएंगी. हंदवाड़ा में भी आतंकियों के साथ एक एनकाउंटर चल रहा है. बताया जा रहा है कि यहां के यारू इलाके में जवानों ने दो आतंकियों को घेर रखा है कांग्रेस में शामिल हो कर अपने राजनीतिक सफर की शुरूआत करने जा रहीं फिल्म अभिनेत्री उर्मिला मातोंडकर का कहना है कि वह ग्लैमर के कारण नहीं बल्कि विचारधारा के कारण कांग्रेस में आई हैं पीएम के संबोधन पर राहुल गांधी ने उनपर कुछ इसतरह तंज कसा. मलाइका अरोड़ा दूसरी बार शादी करने जा रही हैं संयुक्त निदेशक स्तर के एक अधिकारी को जरूरी दस्तावेजों के साथ बुधवार लंदन रवाना होने का काम सौंपा गया है. Firstpost हिंदी   
NA ne 	   सिद्धार्थ मल्होत्रा और कियारा आडवाणी के बीच रिलेशन की खबरें अक्सर सामने आती रहती है। हालांकि दोनों ने कभी इस बारें में कभी खुलकर बात नहीं की है। हाल ही में कियारा और सिद्धार्थ को मुंबई एयरपोर्ट पर साथ देखा गया। बताया जा रहा है कि सिद्धार्थ मल्होत्रा और कियारा आडवाणी न्यू ईयर सेलिब्रेशन के लिए मालदीव जा रहे हैं। पिछले साल न्यू ईयर पर सिद्धार्थ और कियारा वेकेशन पर अफ्रीका गए थे। हालांकि, दोनों ने एक-दूसरे के साथ कोई तस्वीर सोशल मीडिया पर शेयर नहीं की थी, लेकिन दोनों की तस्वीरों ने यह साफ कर दिया था कि दोनों अफ्रीका में हॉलिडे पर साथ हैं। सिद्धार्थ और कियारा में से किसी ने अपने अफेयर को लेकर अब तक कुछ भी कम्फर्म नहीं किया है, लेकिन दोनों के रोमांटिक रिलेशनशिप को लेकर काफी चर्चा होती रही है। खबरों के अनुसार दोनों के बीच प्यार की शुरुआत फिल्म ‘शेरशाह’ के सेट पर हुई। फिल्म में सिद्धार्थ कारगिर वॉर हीरो विक्रम बत्रा की भूमिका में हैं और कियारा उनकी लव लाइफ की भूमिका निभा रही हैं।   
NA ne 	   विक्रमादित्य नि:शुल्क शिक्षा योजना: राज्य सरकार द्वारा गरीबों में भेदभाव को समाप्त करते हुए सामान्य वर्ग के निर्धन परिवारों के विकास और कल्याण की दिशा में सामान्य निर्धन वर्ग कल्याण आयोग गठित कर आयोग की अनुशंसा पर विक्रमादित्य निःशुल्क शिक्षा योजना लागू की गई है। योजना का उद्देश्य गरीबी रेखा से नीचे के सामान्य निर्धन वर्ग के विद्यार्थियों को स्नातक स्तर पर निःशुल्क उच्च शिक्षा प्रदान करना है। योजना में निर्धन वर्ग के ऐसे विद्यार्थियों को स्नातक स्तर पर निःशुल्क शिक्षा प्रदान की जाती है, जिन्होंने 12 वीं बोर्ड परीक्षा में 60 प्रतिशत से अधिक अंक प्राप्त किये हो और उनके अभिभावकों की वार्षिक आय 42 हजार रुपए से कम हो।   0 comments: Post a comment  
NA ne 	   मेरठ, 22 सितम्बर, 2018ः भारत के विशाल परिधानों की कंपनी रिलायन्स ट्रेंड्स ने आज अपना तीसरा ट्रेंड्स स्टोर ओल्ड देव नगर, बेगम ब्रिज रोड, मेरठ में खोला, जिसका उद्धघाटन MTV फेम मिस मिया लाखरा ने दीप प्रज्वालित करके किया । इस स्टोर के अलावा मेरठ में रिलायंस ट्रेंड्स के दो और स्टोर शोपपरिक्स मॉल और गढ़ रोड पहले से है । 2007 में ट्रेंड्स द्वारा पहला स्टोर एम्बिएंस मॉल, गुडगाँव में खोला गया और अब तक ट्रेंड्स द्वारा देश के 220 विभिन्न शहरो में 450 स्टोर खोले गए है। रिलायन्स ट्रेन्ड्स भारत में सर्वाधिक पसंद और खरीदारी किया जाने वाला स्टोर में से एक है, जो की प्रतिदिन ढाई लाख से अधिक ग्राहकों को सेवा प्रदान करता है। उद्धघाटन के अवसर पर MTV फेम मिस मिया लाखरा ने कहा मै बहुत उत्साहित हूँ की मुझे देश के इतने बड़े परिधानों के ब्रांड ट्रेन्ड्स ने अपने उद्धघाटन समारोह का हिस्सा बनाया । हमारे पवित्र शहर मेरठ में आधुनिक परिधानों का स्टोर खुलने से अब मेरठ निवासियों को भी फैशनेबुल और सुंदर कपडे और एक्सेसरीज मुनासिफ दाम पर मिलेंगे।   
NA ne 	   रिपोर्टर्स विदाउट बॉर्डर्स की रिपोर्ट के मुताबिक कश्मीर में उत्पन्न हुई स्थिति की वजह से भारत की रैकिंग पर काफी प्रभाव पड़ा है. ये रिपोर्ट ऐसे समय पर आई है जब हाल ही में कश्मीर के दो पत्रकारों पर यूएपीए कानून के तहत मामला दर्ज किया गया है. नई दिल्ली: भारत मंगलवार को जारी ‘रिपोर्टर्स विदाउट बॉर्डर्स’ के वार्षिक विश्लेषण के अनुसार वैश्विक प्रेस स्वतंत्रता सूचकांक में 180 देशों के समूह में दो स्थान नीचे उतरकर 142वें नंबर पर आया है. पिछले साल भारत 140वें स्थान पर था. ‘द वर्ल्ड प्रेस फ्रीडम इंडेक्स 2020’ के अनुसार भारत में 2019 में किसी भी पत्रकार की हत्या नहीं हुई और इस तरह देश के मीडिया के लिए सुरक्षा स्थिति में सुधार नजर आया. वर्ष 2018 में छह पत्रकारों की हत्या कर दी गयी थी. रिपोर्ट कहती है, ‘लेकिन लगातार स्वतंत्रता का उल्लंघन किया गया जिनमें पत्रकारों के खिलाफ पुलिसिया हिंसा, राजनीतिक कार्यकर्ताओं पर हमला, बदमाशों एवं भ्रष्ट स्थानीय अधिकारियों द्वारा बदले में हिंसा आदि शामिल हैं.’ इस सूची में लगातार चौथी बार नॉर्वे पहले नंबर पर है और नॉर्थ कोरिया सबसे निचले स्थान पर है. दूसरे नंबर पर फिनलैंड, तीसरे पर डेनमार्क, 11वें पर जर्मनी, 34वें पर फ्रांस, 35वें पर यूके, 45वें पर अमेरिका, 66वें पर जापान और 107वें पर ब्राजील है. #RSFIndex ¦ RSF unveils its 2020 World Press Freedom Index:1: Norway🇳🇴2: Finland🇫🇮3: Denmark🇩🇰11: Germany🇩🇪34: France🇫🇷35: United Kingdom🇬🇧45: United States🇺🇸66: Japan🇯🇵107: Brazil🇧🇷142: India🇮🇳166: Egypt🇪🇬178: Eritrea🇪🇷180: North Korea🇰🇵https://t.co/4izhhdhZAo pic.twitter.com/biJfunlTSw— RSF (@RSF_inter) April 21, 2020 रिपोर्ट के मुताबिक कश्मीर में उत्पन्न हुई स्थिति की वजह से भारत की रैकिंग पर काफी प्रभाव पड़ा है. पिछले साल पांच अगस्त को केंद्र सरकार ने अपने एक बेहद अप्रत्याशित फैसले में अनुच्छेद 370 के अधिकतर प्रावधानों को खत्म कर जम्मू कश्मीर का विशेष दर्जा समाप्त कर दिया था. इसके चलते राज्य में कई तरह के कठोर प्रतिबंध लगा दिए गए थे, जिसकी वजह से पत्रकारों को खबरें करते हुए कठोर मुश्किलों का सामना करना पड़ा. संयोगवश ये रिपोर्ट ऐसे समय पर आई है जब हाल ही जम्मू कश्मीर पुलिस ने कश्मीर के दो पत्रकारों पर कठोर यूएपीए कानून के तहत मामला दर्ज किया है. कश्मीर की फोटो पत्रकार मसरत ज़हरा पर एक फेसबुक पोस्ट के चलते देश विरोधी गतिविधियों के आरोप में यूएपीए के तहत मामला दर्ज किया गया है. ये एक आतंकरोधी कानून है, जिसके तहत दोषी पाए जाने पर सात साल तक की सजा का प्रावधान है. 26 वर्षीय ज़हरा एक स्वतंत्र फोटो पत्रकार हैं और विभिन्न अंतरराष्ट्रीय समाचार संगठनों में के साथ काम करती हैं. उनके द्वारा ली गई तस्वीरें वाशिंगटन पोस्ट, अल जज़ीरा, कारवां और कई अन्य प्रकाशनों में प्रकाशित हुई हैं. इसके अलावा द हिंदू के पत्रकार पीरज़ादा आशिक पर एक स्टोरी के चलते यूएपीए के तहत मामला दर्ज किया गया है. पुलिस का कहना है कि ये खबर फर्जी है. एडिटर्स गिल्ड ऑफ इंडिया ने इन दोनों पत्रकारों के खिलाफ दर्ज हुए केस की कड़ी निंदा की है.  The Editors Guild of India has issued a statement pic.twitter.com/GUam3Ti53N — Editors Guild of India (@IndEditorsGuild) April 21, 2020  गिल्ड ने कहा कि मुख्यधारा की मीडिया या सोशल मीडिया पर लिखने को लेकर ऐसे कानूनों का इस्तेमाल करना सत्ता का गलत प्रयोग है. यह पत्रकारों के बीच भय पैदा करने के लिए किया जा रहा है. गिल्ड ने कहा कि वो ये भी मानता है कि ये अप्रत्यक्ष तौर पर देश के सभी पत्रकारों को धमकी देने जैसा है. प्रेस फ्रीडम रिपोर्ट में कहा गया है कि 2019 के लोकसभा चुनाव जीतने के बाद भाजपा के दोबारा सत्ता में आने पर पत्रकारों की मुश्किलें और ज्यादा बढ़ गई हैं.   
HI IN 	   हॉलक्स वल्गस और इसकी रीडिगेशन हॉलिडे वाल्गस के पोस्टऑपरेटिव उपचार में रीडिगेडिया एक महत्वपूर्ण स्थान रखता है। आगे हम उन तौर-तरीकों और अभ्यासों के बारे में बताएंगे जो संचालित पैर के जोड़ के लचीलेपन को ठीक करने की अनुमति देते हैं। हॉलक्स वाल्गस की स्व-पुनः शिक्षा संचालित हॉलक्स वाल्गस की स्व-प्रतिपूर्ति चिकित्सा प्रक्रिया में भाग लेती है और बड़े पैर की अंगुली की कठोरता को रोकती है। यह आमतौर पर हस्तक्षेप के पंद्रह दिनों बाद शुरू होता है, एक अच्छी तरह से परिभाषित प्रोटोकॉल के अनुसार। निष्क्रिय मोबलाइजेशन व्यायाम हस्तक्षेप के बाद पहले चार हफ्तों के दौरान पैर की उंगलियों का निष्क्रिय जमाव किया जाता है। जुटान का एक प्रभाव होता है जो एडिमा से द्रव को हटाता है और संयुक्त के आयाम को बढ़ाता है। इस प्रकार का व्यायाम बैठने के दौरान किया जाता है, संचालित पैर को एक दूसरे की ओर और दूसरे पैर को मुक्त (बिस्तर से बाहर) किया जाता है। इस अभ्यास को कैसे करें? इस अभ्यास को करने के लिए, आपको अपने अंगूठे को पैरों के एकमात्र पर रखना चाहिए और सूचकांक के साथ, बड़े पैर की अंगुली को नीचे, सुचारू रूप से और उत्तरोत्तर धक्का देना चाहिए। एंकिलोसिस को रोकने के लिए, प्रत्येक पैर की अंगुली के लिए आंदोलन को नवीनीकृत किया जा सकता है। सक्रिय गतिशीलता व्यायाम सक्रिय गतिशीलता अभ्यास में ऊपर उल्लिखित आंदोलनों को पुन: प्रस्तुत करने में शामिल हैं। अभ्यास की आवृत्ति प्रत्येक आंदोलन के लिए 10 पुनरावृत्ति की दर से सक्रिय और निष्क्रिय जुटाना अभ्यास दिन में 3 बार किया जाना चाहिए। एक महीने के बाद रीडेड एड़ी पर आराम करने वाले जूते के बिना चलने के साथ जुड़ा हुआ है, यह पहले कुछ समय के लिए कीनेस्टेरापिस्ट के साथ किया जाता है। इसमें विशेष रूप से शामिल हैं:  बड़े पैर की अंगुली के प्रणोदन समर्थन की एक रीडिगेशन। निशान की मालिश। एडिमा को कम करने के लिए मैनुअल लसीका जल निकासी।  रीडेडेबिलिटी के दौरान, पैर के बाहरी किनारे पर नहीं चलना आवश्यक है, ताकि बड़े पैर की अंगुली फिर से झुकाने के जोखिम से बचने के लिए। हॉलक्स वाल्गस का चिकित्सा उपचार: पुनः शिक्षा की साइट कीनेसोथेरेपी सत्र सर्जरी से पहले, हॉलक्स वाल्गस के चिकित्सा उपचार का हिस्सा हो सकता है। इस मामले में, रीडिगेशन विरूपण को ठीक करने की अनुमति नहीं देता है, लेकिन:  संयुक्त लचीलापन बनाए रखें। कुछ मांसपेशियों को मजबूत करें। सूजन और दर्द से राहत दिलाता है।  अधिक जानने के लिए  हॉलक्स वल्गस (गोखरू): परिभाषा, कारण और उपचार। पैरों पर कॉर्न्स और कॉलस। गोखरू क्या हैं? गोखरू: जटिलताओं और उपचार। हमें एक बाल रोग विशेषज्ञ के पास कब जाना चाहिए? पैरों की देखभाल कैसे करें?    
